Player,Salary,Salary_Adj,Year
Gary Leonard,"$200,000","$456,214",1990
Steve Scheffler,"$200,000","$456,214",1990
Milos Babic,"$200,000","$456,214",1990
Michael Ansley,"$200,000","$456,214",1990
Kevin Pritchard,"$185,000","$421,997",1990
Kenny Williams,"$175,000","$399,187",1990
Cedric Ceballos,"$175,000","$399,187",1990
Derrick Gervin,"$155,000","$353,565",1990
Scott Williams,"$150,000","$342,160",1990
John Shasky,"$150,000","$342,160",1990
John Long,"$150,000","$342,160",1990
Keith Askins,"$150,000","$342,160",1990
Richard Coffey,"$150,000","$342,160",1990
Sean Higgins,"$150,000","$342,160",1990
Tony Massenburg,"$150,000","$342,160",1990
Alan Ogg,"$130,000","$296,539",1990
Ian Lockhart,"$130,000","$296,539",1990
Duane Ferrell,"$125,000","$285,133",1990
Gerald Henderson,"$125,000","$285,133",1990
Rick Calloway,"$125,000","$285,133",1990
Kurk Lee,"$120,000","$273,728",1990
Gerald Paddio,"$120,000","$273,728",1990
Matt Bullard,"$120,000","$273,728",1990
Kennard Winchester,"$120,000","$273,728",1990
Tony Smith,"$120,000","$273,728",1990
Irving Thomas,"$120,000","$273,728",1990
Steve Henson,"$120,000","$273,728",1990
John Starks,"$120,000","$273,728",1990
Rickey Green,"$120,000","$273,728",1990
Andy Toolson,"$120,000","$273,728",1990
Haywoode Workman,"$120,000","$273,728",1990
Jim Grandholm,"$115,000","$262,323",1990
Andre Turner,"$110,000","$250,917",1990
Darnell Valentine,"$100,000","$228,107",1990
Paul Mokeski,"$100,000","$228,107",1990
Dave Popson,"$80,000","$182,485",1990
Scott Haffner,"$75,000","$171,080",1990
Henry James,"$75,000","$171,080",1990
Mario Elie,"$50,000","$114,053",1990
Avery Johnson,"$50,000","$114,053",1990
Alan Bannister,"$50,000","$114,053",1990
Tony Brown,"$50,000","$114,053",1990
A.J. Wynder,"$30,000","$68,432",1990
Kelvin Upshaw,"$30,000","$68,432",1990
Anthony Frederick,"$30,000","$68,432",1990
Larry Bird,"$7,070,000","$15,403,814",1991
Hot Rod Williams,"$3,786,000","$8,248,775",1991
